framework,category,github_repo,stargazers_count,forks_count,open_issues_count,npm_weekly_downloads,pypi_weekly_downloads,total_weekly_downloads,so_usage_pct,so_admired_pct,so_desired_pct,norm_stargazers_count,norm_total_weekly_downloads,norm_so_usage,norm_so_admired,norm_so_desired,Market_Dominance_Score,audience_label,sources_used
Vue.js,Frontend,vuejs/core,53839,9148,983,13791694,0,13791694,17.6,50.9,15.3,0.13823487186849473,0.09604559826948066,0.39373601789709173,0.6443037974683544,0.49837133550488605,0.2977,Terbaik untuk MVP & Tim Kecil,"github, npm, pypi, stackoverflow"
React,Frontend,facebook/react,245923,51061,1288,143595274,0,143595274,44.7,52.1,30.7,1.0,1.0,1.0,0.659493670886076,1.0,0.9574,Ekosistem Terbesar & Paling Fleksibel,"github, npm, pypi, stackoverflow"
Next.js,Frontend,vercel/next.js,140065,31227,4083,38202756,0,38202756,20.8,45.5,14.9,0.5250789605914866,0.26604466105200647,0.465324384787472,0.5759493670886076,0.485342019543974,0.4338,Standar Skala Enterprise,"github, npm, pypi, stackoverflow"
Angular,Frontend,angular/angular,100370,27181,1171,6082279,0,6082279,18.2,44.7,12.6,0.34699142200847033,0.04235709735126798,0.407158836689038,0.5658227848101266,0.41042345276872966,0.3059,Solusi Enterprise Terstruktur,"github, npm, pypi, stackoverflow"
Svelte,Frontend,sveltejs/svelte,87294,4947,1028,4829870,0,4829870,7.2,62.4,11.1,0.288327291651712,0.03363529916729711,0.1610738255033557,0.789873417721519,0.36156351791530944,0.252,"Compiler-first, Performa Maksimal","github, npm, pypi, stackoverflow"
Nuxt,Frontend,nuxt/nuxt,60456,5668,814,1717014,0,1717014,4.0,46.4,4.0,0.16792136242911493,0.01195731553115042,0.08948545861297538,0.5873417721518988,0.13029315960912052,0.1492,Vue Full-stack Meta-framework,"github, npm, pypi, stackoverflow"
Astro,Frontend,withastro/astro,60210,3548,158,3267248,0,3267248,4.5,62.2,5.9,0.16681770870719978,0.022753172224874198,0.10067114093959731,0.7873417721518988,0.1921824104234528,0.1878,"Content-first, Island Architecture","github, npm, pypi, stackoverflow"
Remix,Frontend,remix-run/remix,33074,2774,69,806059,0,806059,0.0,0.0,0.0,0.04507483310602254,0.005613408976119925,0.0,0.0,0.0,0.0107,"Web Standards-first, Progressive Enhancement","github, npm, pypi, stackoverflow"
FastAPI,Backend,fastapi/fastapi,99273,9439,98,0,96257280,96257280,14.8,55.5,13.0,0.3420698442322877,0.6703373817163369,0.33109619686800895,0.7025316455696202,0.4234527687296417,0.493,Pilihan Utama AI & Data,"github, npm, pypi, stackoverflow"
Express.js,Backend,expressjs/express,69190,23723,206,110798455,0,110798455,19.9,45.5,11.4,0.20710555595434643,0.7716023787802375,0.4451901565995525,0.5759493670886076,0.3713355048859935,0.5026,Backend JS Ringan & Minimalis,"github, npm, pypi, stackoverflow"
Spring Boot,Backend,spring-projects/spring-boot,80946,41916,512,0,0,0,14.7,53.7,11.0,0.2598476419496088,0.0,0.32885906040268453,0.679746835443038,0.3583061889250814,0.2639,Enterprise Java Teruji,"github, npm, pypi, stackoverflow"
Django,Backend,django/django,87884,33861,450,0,10860760,10860760,12.6,46.4,10.4,0.29097426602541093,0.07563452262363453,0.28187919463087246,0.5873417721518988,0.3387622149837134,0.2671,Full-stack Python Matang,"github, npm, pypi, stackoverflow"
Flask,Backend,pallets/flask,71669,16878,4,0,0,0,14.4,41.7,8.9,0.21822733472112554,0.0,0.3221476510067114,0.5278481012658228,0.2899022801302932,0.2264,Microframework Python Ringan,"github, npm, pypi, stackoverflow"
NestJS,Backend,nestjs/nest,75863,8324,37,11447061,0,11447061,6.7,49.8,6.0,0.23704328476060585,0.07971753304360142,0.14988814317673377,0.630379746835443,0.19543973941368079,0.212,Enterprise TypeScript Terstruktur,"github, npm, pypi, stackoverflow"
Laravel,Backend,laravel/laravel,84489,24738,31,0,0,0,8.9,47.8,6.5,0.2757429473835331,0.0,0.19910514541387025,0.6050632911392405,0.21172638436482086,0.207,Full-stack PHP Elegan,"github, npm, pypi, stackoverflow"
Ruby on Rails,Backend,rails/rails,58691,22172,1503,0,0,0,5.9,52.0,5.5,0.16000287129423588,0.0,0.1319910514541387,0.6582278481012658,0.1791530944625407,0.1697,Rapid Prototyping Legend,"github, npm, pypi, stackoverflow"
Phoenix,Backend,phoenixframework/phoenix,23027,3073,56,0,0,0,2.4,79.0,4.0,0.0,0.0,0.05369127516778523,1.0,0.13029315960912052,0.1547,Real-time Elixir Powerhouse,"github, npm, pypi, stackoverflow"
ASP.NET Core,Backend,dotnet/aspnetcore,38049,10702,4029,0,0,0,19.7,61.3,14.7,0.06739465939272127,0.0,0.44071588366890374,0.7759493670886075,0.4788273615635179,0.2805,Enterprise Microsoft Ecosystem,"github, npm, pypi, stackoverflow"
